Learning_outcome,Remember,Understand,Apply,Analyze,Evaluate,Create
"Evaluate techniques used to assess food consumption at national, household and individual levels.",,,,,1,
Evaluate technologies and products by applying the methods and tools to of green chemistry in the practice of chemistry;,,,,,1,
Evaluate the above issues and debates in the context of regional and global trends;,,,,,1,
"Evaluate the accuracy of astronomical instrumentation and observations, including angular resolution, spectroscopic resolution and photometric precision;",,,,,1,
Evaluate the adequacy of exposure assessment in epidemiological studies,,,,,1,
Evaluate the adequacy of exposure assessment in epidemiological studies;,,,,,1,
Evaluate the advantages and disadvantages of gradient and spin echo recovery techniques,,,,,1,
evaluate the aims and modus operandi of selected case studies of local and international film festivals;,,,,,1,
Evaluate the ambiguous nature of genres in terms of their apparently contradiction; i.e. being bound by certain conventions while simultaneously transgressing them.,,,,,1,
"evaluate the application of branding theories, concepts, and tactics across different firm and organisational contexts",,,,,1,
Evaluate the application of tests and analyses used in branches of forensic science to assist in the proper application of their results in particular cases.,,,,1,1,
Evaluate the applications of finance principles to public sector projects;,,,,,1,
"Evaluate the appropriate use of antiseptics, disinfectants and antimicrobial agents in the management of wound infection.",,,,,1,
Evaluate the appropriateness and suitability of Cognitive Behaviour Therapy and Mindfulness Based Approaches for a diverse range of populations with a specific focus on different contexts.,,,,,1,
Evaluate the appropriateness of a game engine to a specific game design brief;,,,,,1,
"Evaluate the appropriateness of both formal and informal processes in family violence matters including litigation, mediation and restorative processes",,,,,1,
"Evaluate the artworks produced in the studio in relation to Indigenous cultural frameworks; knowledge, cultures and values, within local and international contexts; and;",,,,,1,
Evaluate the assessment of fitness to fly of passengers and the risks and challenges involved in the provision of inflight medical care,,,,,1,
"Evaluate the assumptions and metaphors associated with inclusion, e.g. 'safe' classroom, 'level playing field'",,,,,1,
Evaluate the barriers and enablers of effective patient and family centred and Inter-disciplinary collaborative care,,,,,1,
"Evaluate the basic concepts of computer programming, CPU organization, assemblers and compilers, and algorithm design for engineering problems by using software engineering and operating systems concepts",,,,,1,
"Evaluate the basic neurochemistry, use and action of different classes of psychoactive drugs and explain the potential issues relating to occupational therapy.",,,,,1,
"Evaluate the basic structure of a blockchain system, what is involved in designing such systems and strategy to maintain them.",,,,,1,
Evaluate the basic taxation law implications of common commercial transactions,,,,,1,
Evaluate the benefits and shortcomings associated with different assays of toxicity. Themeslabel Pharmaceutical Science,,,,,1,
"evaluate the capacities, limitations and socio-professional implications of journalistic practices in different media.",,,,,1,
Evaluate the causes and impacts of current global trends;,,,,,1,
"Evaluate the challenges associated with managing patients with a range of different needs including the elderly, children, patients with physical disability or mental impairment.",,,,,1,
evaluate the changing nature of international management process,,,,,1,
evaluate the changing nature of international management processes,,,,,1,
"Evaluate the characteristics, scope and impact of domestic family violence ;",,,,,1,
Evaluate the clinical and experimental approaches relevant to the study of neuropsychology.,,,,,1,
Evaluate the clinical aviation medicine issues related to the special senses,,,,,1,
evaluate the commercialisation of technology process in an industry or organisation and develop recommendations,,,,,,1
"Evaluate the communication strategies adopted by a range of local and international health communication examples as well as a range of health communication materials (print-based, electronic and web-based).",,,,,1,
Evaluate the complex and changing nature of Egyptian culture as a result of the introduction of Hellenism and the development of the Ptolemaic state,,,,,1,
"Evaluate the concepts underpinning the dominant intellectual capital perspective on IT and IKM strategy, the strengths and limitations of this approach, and how social capital and emotional capital insights can augment this view of strategy;",,,,,1,
evaluate the contribution of HRM activities to the creation of an ethical and ‘future focused' organisation,,,,,1,
Evaluate the contribution of teamwork and interdisciplinary collaboration in the provision of quality nursing care,,,,,1,
"evaluate the contribution of the fields of philosophy, politics and economics to solving local and global dilemmas;",,,,,1,
evaluate the contributions and limitations of economic analysis for helping to understand and to evaluate macroeconomic policy options,,,,,1,
Evaluate the contributions of cells and molecules to the immune system;,,,,,1,
Evaluate the core elements of Disaster Victim Identification (DVI) principles and methods in odontology investigations following natural and man-made mass fatality incidents;,,,,,1,
Evaluate the cultural exchange that operated between Etruscan and Roman cultures and their neighbours,,,,,1,
Evaluate the cultural exchange that operated between Etruscan and Roman cultures and their neighbours;,,,,,1,
Evaluate the current state-of-the-art of emerging polymer technologies,,,,,1,
Evaluate the current uncertainties in cosmology;,,,,,1,
"Evaluate the design features, function and layout of various internal combustion engines",,,,,1,
evaluate the development and current operation of youth justice policy and practice.,,,,,1,
Evaluate the differences between Western and non-Western works classified under a particular genre;,,,,,1,
Evaluate the different levels of control of gene expression from DNA to protein.,,,,,1,
"Evaluate the different types of research designs used in the biomedical sciences at the level of tissues, organs and systems, and justify the use of particular research designs to address specific research questions;",,,,,1,
evaluate the different ways in which the organisational/socio-cultural interface manifests in and around organisational contexts,,,,,1,
evaluate the difficulties involved in regulation and prosecution of crimes by powerful actors and suggest possible solutions.,,,,,1,
Evaluate the difficulties that may be experienced by the therapist when working with parents.,,,,,1,
"evaluate the dominant discourse, concepts and key issues in the contemporary aid and development sector;",,,,,1,
evaluate the economic benefits and costs of optimum currency areas.,,,,,1,
"evaluate the economic, technological, political, and social environment in which business operations are managed",,,,,1,
Evaluate the effect of environment and nutrition on the health of an individual or community;,,,,,1,
"Evaluate the effectiveness of election law as a means to articulate, deliver and regulate a range of democratic rights.",,,,,1,
evaluate the effectiveness of employee protection in Malaysia through a comparative approach,,,,,1,
Evaluate the effectiveness of existing counter-measures against cybercrime,,,,,1,
Evaluate the effectiveness of exposure protocols for all general and contrast radiographic imaging in terms of image quality and radiation protection for patients;,,,,,1,
Evaluate the effectiveness of globalized social movements,,,,,1,
evaluate the effectiveness of marketing and service design strategies in managing the service experience,,,,,1,
Evaluate the effectiveness of public sector reforms in practice;,,,,,1,
Evaluate the effectiveness of your psychotherapeutic interventions in the clinical setting.,,,,,1,
Evaluate the efficacy of population-based interventions to manage chronic diseases.,,,,,1,
"Evaluate the elements of clinical scene leadership and how these can impact the scene dynamic, other team members, bystanders and patients.",,,,,1,
Evaluate the encounter between Greek wisdom and the Abrahamic monotheistic traditions,,,,,1,
Evaluate the environment within which public transport planning and management is conducted and the fundamentals of public transport policy.,,,,,1,
"Evaluate the epidemiology and control of infectious diseases including chemoprophylaxis, Chemotherapy, drug resistance and vaccinology.",,,,,1,
Evaluate the epistemological issues and problems evident in the study of Australian Aboriginal History;,,,,,1,
Evaluate the epistemological issues and problems evident in the study of Australian Aboriginal History.,,,,,1,
Evaluate the ethical and business drivers that underpin the nanotechnology industry.,,,,,1,
Evaluate the ethical debates involved in photography and photojournalism;,,,,,1,
"Evaluate the ethical dimensions of recordkeeping frameworks, systems, policies and processes;",,,,,1,
Evaluate the ethical issues of the doctor/patient relationship in a custodial setting;,,,,,1,
Evaluate the evidence for various models for preventing and treating addictive behaviours.,,,,,1,
"Evaluate the evidence-base for management strategies or interventions with children, adolescents and their families presenting with mental health difficulties.",,,,,1,
Evaluate the evidence-base from research in the management of the medically ill and their families.,,,,,1,
Evaluate the experiences gained within the simulation environment through reflection and judge the influence these may have on future practice within the workplace.,,,,,1,
"Evaluate the experimental approach adopted and recognise its strengths and limitations, and compare and integrate your project findings with findings from previous work reported in the literature or elsewhere.",,,,,1,
evaluate the extent of Malaysia's conformance with international labour law standards.,,,,,1,
evaluate the factors effecting assurance of sustainability reports.,,,,,1,
evaluate the factors effecting sustainability reporting by diverse organisations,,,,,1,
evaluate the feasibility of an IoT implementation using cost-benefit analysis.,,,,,1,
"Evaluate the function, application and potential pitfalls of ultrasound instrumentation used in abdominal ultrasound scanning.",,,,,1,
Evaluate the historical and cultural circumstances that shape the issues of pertinence and the methods by which change is advanced.,,,,,1,
Evaluate the historical and theoretical development of short-term therapy;,,,,,1,
Evaluate the historiographical debates about popular unrest;,,,,,1,
evaluate the impact different foreign operations have on the internationalising organisation.,,,,,1,
evaluate the impact different types of foreign operations have on the internationalising organisation.,,,,,1,
Evaluate the impact of a communication plan.,,,,,1,
Evaluate the impact of ageing in the context of health and illness for older people in the community;,,,,,1,
Evaluate the impact of bias in quantitative and qualitive study designs,,,,,1,
Evaluate the impact of channel bandwidth and the channel noise on the performance of telecommunication systems.,,,,,1,
Evaluate the impact of current policy and political context on group and community work.,,,,,1,
evaluate the impact of international securities and tax law on international financial markets,,,,,1,
evaluate the impact of mergers and acquisitions on the participating parties,,,,,1,
Evaluate the impact of organisation culture upon ethical practise and approaches to problem solving.,,,,,1,
Evaluate the impact of population and individual nutrition and health messages on the food supply.,,,,,1,
"Evaluate the impact of various factors on the exacerbation of, and solution to, identified case-studies;",,,,,1,
"evaluate the impacts of certain market conducts such as horizontal mergers, vertical integration, exclusive dealing and collusion",,,,,1,
Evaluate the implementation of a specific management and leadership strategy in the conduct of nursing work,,,,,1,
Evaluate the implications of choosing different modelling approaches;,,,,,1,
"evaluate the implications of social, technological and other dynamics on business models and strategy and demonstrate the ability to create and implement appropriate initiatives and responses.",,,,,1,1
evaluate the implications of the global financial crisis for the global trading system.,,,,,1,
Evaluate the importance and limitations of identity politics in the post-Cold War era,,,,,1,
"Evaluate the importance of marketing, leading and championing IT and IKM within the organisation, and of reflective practice.",,,,,1,
Evaluate the importance of parents' own development as it may affect their role as parents;,,,,,1,
evaluate the influence of contemporary issues and critical perspectives on business strategy,,,,,1,
"evaluate the influence of sociocultural factors on historical and contemporary policies andpractices in health and physical education, health, physical activity and sport contexts",,,,,1,
"Evaluate the integral role of retrieval medicine within the broader health care system, identifying all of the factors to be considered when coordinating an aero medical retrieval;",,,,,1,
Evaluate the integration of physiological systems and processes within significant nutrition issues relating to health and disease.,,,,,1,
Evaluate the interaction between food components and genetic factors that influence biochemical pathways and health and susceptibility to disease (Nutrigenetics and Epigenetics).,,,,,1,
Evaluate the interplay between familial and cultural factors in determining the course of development from birth through to old age.,,,,,1,
Evaluate the issues arising from mass adoption of new media technologies;,,,,,1,
Evaluate the key debates regarding the origins and impacts of social movements,,,,,1,
"Evaluate the key factors in shaping the evolution of cinema as a technology, as a business and as an art;",,,,,1,
Evaluate the kinetics of physicochemical changes in food during processing.,,,,,1,
Evaluate the laws relating to assault and negligence and relate these to radiation therapy practice;,,,,,1,
Evaluate the legal concepts and mechanisms that underpin the practice of nursing,,,,,1,
"evaluate the legal, social and business issues associated with diversity management in the contemporary workplace",,,,,1,
"Evaluate the life cycle of a machine leaning system, what is involved in designing such systems and strategy to maintain them.",,,,,1,
Evaluate the likely impact of new land use planning controls on urban development,,,,,1,
"Evaluate the limitations, appropriateness and benefits of data analytics methods for given tasks;",,,,,1,
"Evaluate the limitations, appropriateness and benefits of data analytics methods for given tasks;",,,,,1,
"evaluate the limitations, appropriateness and benefits of different modelling patterns for common problem classes;",,,,,1,
"evaluate the limitations, appropriateness and benefits of different modelling patterns for common problem classes;",,,,,1,
"evaluate the literature, philosophical traditions, methods and problems associated with different sub-disciplines of accounting research",,,,,1,
"evaluate the literature, philosophical traditions, methods and problems associated with several topics",,,,,1,
Evaluate the major thematic paradigms of fairy tales;,,,,,1,
Evaluate the merits and limitations of the major bioinformatics databases to solve specific computational biomedical problems.,,,,,1,
Evaluate the methods of archaeological interpretation used to reconstruct the nature of these societies and the challenges posed in this;,,,,,1,
"evaluate the multifaceted nature of leadership in Australia and internationally, and enhance students' own leadership skills in the process",,,,,1,
"evaluate the national and international challenges presented by drug manufacture, drug supply and drug use;",,,,,1,
Evaluate the nature and degree of Australia's human rights obligations under international law and their impact on Australian law and practice,,,,,1,
Evaluate the nature of cross-national remembrance of the Vietnamese diaspora in Australia and Indonesia;,,,,,1,
evaluate the nature of rights and duties within the employment relationship,,,,,1,
evaluate the need for volatility models for financial returns,,,,,1,
Evaluate the need to cater for genetic variation and evolutionary potential;,,,,,1,
evaluate the opportunities and the limitations of formally linking human rights and environmental issues to the global trading system,,,,,1,
evaluate the options and futures markets for hedging and trading purposes,,,,,1,
"Evaluate the outcome of the simulation, using reflective practice as the basis for improvements to their ongoing patient care practices.",,,,,1,
Evaluate the performance of cellular and flexible manufacturing systems and manual assembly lines.,,,,,1,
Evaluate the performance of internal combustion engines.,,,,,1,
Evaluate the performance of the system in order to mitigate or eliminate potential weaknesses in an engineered system,,,,,1,
Evaluate the perspectives of health care consumers and other stakeholders in health service planning.,,,,,1,
Evaluate the perspectives related to cultural competence and describe their relevance to professional practice.,,,,,1,
Evaluate the pharmacokinetics and pharmacological activity of psychotropic medications in application to mental health disorders;,,,,,1,
Evaluate the pivotal role of teamwork within the aeromedical retrieval environment,,,,,1,
Evaluate the political and ideological significance of stardom in general and of specific stars in particular;,,,,,1,
"Evaluate the political, economic, health and environmental drivers impacting on the international food system.",,,,,1,
evaluate the potential for sales management and marketing channels to contribute to the creation of customer value.,,,,,1,
evaluate the potential of inquiry teaching for addressing cross-curriculum priorities in the Australian and Victorian Curriculums,,,,,,1
"Evaluate the preservation and condition of human remains, and assess how preservation impacts on techniques employed by forensic anthropologists.",,,,,1,
"Evaluate the prevailing attitudes which dominate current thinking about native title from a range of disciplinary perspectives, including law, history, anthropology and archaeology.",,,,,1,
"Evaluate the principles of clinical decision making, clinical practice guidelines, protocol and workflow development applying these to ART.",,,,,1,
"evaluate the principles of contaminant fate and transport within soil, water and air systems",,,,,1,
"Evaluate the principles of Image-Guided Radiotherapy, describing the instrumentation and equipment used;",,,,,1,
Evaluate the principles of multidisciplinary team working and apply these to radiation therapy practice.,,,1,,1,
"Evaluate the principles of palliative care, reflecting on patient management strategies in the radiation oncology palliative care sector.",,,,,1,
"Evaluate the principles, concepts and standards that guide the development of information organisation and retrieval systems.",,,,,1,
Evaluate the processes involved with aeromedical decision-making and aeromedical disposition.,,,,,1,
Evaluate the processes required for optimum patient outcome of mother and child in high-risk pregnancies.,,,,,1,
Evaluate the psychological and physiological responses of children to illness and injury compared to the adult population;,,,,,1,
evaluate the qualitative impact of policy changes on relevant outcomes using graphical methods,,,,,1,
"Evaluate the quality of object-oriented software designs, both in terms of meeting user requirements and in terms of good design principles, using appropriate domain vocabulary to do so;",,,,,1,
"Evaluate the radiographic request form, obtain a clinical history from a patient, select appropriate radiographic protocols consisting of radiographic projections positioning techniques and exposure factors to produce high quality projection(s) that will aid the diagnostic process;",,,,,1,
"Evaluate the range of complex environmental, social and economic interrelationships that shape the Cinque Terre and be able to differentiate a cultural landscape from a natural landscape;",,,,,1,
Evaluate the rationale for use of beam modification accessories.,,,,,1,
Evaluate the relationship between counselling and broader social issues through group discussion,,1,,,1,
evaluate the relationship between counselling and broader social issues through group discussion,,1,,,1,
Evaluate the relationship between road safety legislation and policing practices to traffic medicine and road safety;,,,,,1,
evaluate the relative advantages and challenges of using the web as corpus and the web for corpus;,,,,,1,
Evaluate the relevance of observation skills to the understanding of children and adolescents in both therapeutic and consultative work;,,,,,1,
Evaluate the relevance of these theories and their assumptions to the psychological development of children and adolescents in terms of both healthy development and the development of psychopathology,,,,,1,
Evaluate the relevance of various new media technologies for PR applications.,,,,,1,
Evaluate the reliability-based design of mechanical systems,,,,,1,
Evaluate the resources available to enhance the resilience of the nursing workforce in disaster;,,,,,1,
Evaluate the responsibilities and powers of custodians;,,,,,1,
evaluate the risk-return relationship among financial assets,,,,,1,
evaluate the risk-return relationship among financial assets,,,,,1,
evaluate the role and impact of global institutions and policy on economies and businesses and demonstrate the ability to create and implement appropriate initiatives and responses,,,,,1,1
evaluate the role and influence of government and international funding and trade organisations,,,,,1,
"evaluate the role and necessity of regulation and reflect critically on the relationship between law, regulation, ethics, and corporate culture in ensuring a fair, efficient, and resilient financial sector by taking into account the Banking Royal Commission's recommendations",,,,,1,
"Evaluate the role of addictive behaviours in contemporary cultural practices, identities, meanings and values, including among specific groups (such as youth, sexual and gender minorities, Indigenous Australians).",,,,,1,
Evaluate the role of debridement in wound bed preparation.,,,,,1,
"Evaluate the role of diet in the aetiology, prevention, and management of a range of clinical conditions and diseases in preparation for clinical case management.",,,,,1,
Evaluate the role of digital technologies in transnational and domestic legal practice,,,,,1,
Evaluate the role of digital technologies in transnational and domestic work in order to devisepersuasive commentary on relevant examples.,,,,,1,
Evaluate the role of education in health promotion,,,,,1,
Evaluate the role of ethics and social responsibility of a manager in the context of the culture and behaviour of an organisation.,,,,,1,
evaluate the role of finance in shaping society,,,,,1,
Evaluate the role of government institutions and other stakeholders in the processes in policy making;,,,,,1,
Evaluate the role of health practitioners in assessing cases of suspected child sexual abuse;,,,,,1,
Evaluate the role of Intelligent Transport Systems in Dynamic Traffic Management,,,,,1,
Evaluate the role of international law in managing the phenomenon of armed conflict;,,,,,1,
Evaluate the role of law in regulating and facilitating commercial transactions.,,,,,1,
"Evaluate the role of macro- and micro-nutrients in human energy transfer systems active during different types of exercise, and recognise the nutritional implications;",,,,,1,
Evaluate the role of network security in maintaining information system integrity;,,,,,1,
"Evaluate the role of other mortuary based identification methods, such as molecular biology, fingerprints, the weight given to circumstantial evidence, and cranio-facial superimposition.",,,,,1,
Evaluate the role of principles-based ethics in radiation therapy;,,,,,1,
Evaluate the role of public health evidence in the control of chronic diseases.,,,,,1,
Evaluate the role of quality assurance in relation pre-treatment and on-treatment imaging.,,,,,1,
"Evaluate the role of surgery, chemotherapy, hormone therapy and other management strategies used to treat malignancies.",,,,,1,
Evaluate the role of taxation in the modern Australian state and within a market economy.,,,,,1,
Evaluate the role of the policy making process.,,,,,1,
Evaluate the role political Islam plays in international relations;,,,,,1,
evaluate the roles of entrepreneurs,,,,,1,
"Evaluate the scientific literature, including study designs, related to nutrition and health and communicate findings.",,,,,1,1
Evaluate the scope of practice of a nurse and midwife in relation to the Nursing Practice and Midwifery Practice decision making frameworks;,,,,,1,
Evaluate the significance and importance of boundaries and structure provided by the therapist.,,,,,1,
"Evaluate the significance of key economic thinkers such as Malthus, Smith, Ricardo, List, Schumpeter, Marx, Keynes and Hayek;",,,,,1,
Evaluate the specific health care needs of Aboriginal and Torres Strait Islander peoples and incorporate their cultural beliefs and practices into interactions and care planning,,,,,1,
Evaluate the status of research progress within a particular research field ;,,,,,1,
Evaluate the strengths and limitations of different study designs.,,,,,1,
Evaluate the strengths and weakness of key criminological theories.,,,,,1,
Evaluate the strengths and weaknesses of different approaches to media and communication theory;,,,,,1,
evaluate the strengths and weaknesses of the various systems and models;,,,,,1,
Evaluate the suitability of different paradigms for different problem types;,,,,,1,
evaluate the supply and demand side aspects of industries that are the principal GHG emitters and their capacity to mitigate such emissions,,,,,1,
Evaluate the synthesis methods and characterisation techniques of nanomaterials.,,,,,1,
"Evaluate the tools which are used for the assessment of patient health, performance status, well-being and satisfaction",,,,,1,
evaluate the trends in and implications of leadership and management research in organisations and their impact on work environments,,,,,1,
Evaluate the unique cultural aspects of the context of practice;,,,,,1,
Evaluate the use of family therapy in cases of family violence;,,,,,1,
evaluate the use of generalised method of moments in financial models.,,,,,1,
"Evaluate the use of interpretation in therapy by analysing its timing, content and intention;",,,,,1,
"Evaluate the use of textual sources and archaeological evidence to aid the reconstruction of ancient societies, focussing on the Minoan and Mycenaean cultures.",,,,,1,
Evaluate the usefulness of nuclear medicine procedures/techniques in the context of specific patient diagnoses and communicate these findings to their peers,,,,,1,1
Evaluate the validity and relevance of literature evidence when answering clinical questions.,,,,,1,
"evaluate the various mathematical techniques available to manage interest rate risk including the maturity model, the duration model and the repricing model",,,,,1,
Evaluate the various NDT methods for flaw detection and damage assessment and be able to select the appropriate technique for a given scenario.,,,,,1,
"Evaluate the views of other scholars by the following means: use of reporting verbs, summarising and evaluating, comparing and contrasting competing positions, indicating authorial stance, agreeing and disagreeing with published sources;",,,,,1,
"Evaluate the ways in which social media aids, distributes and sometimes subverts ideas about music.",,,,,1,
Evaluate the ways in which the environment shapes adaptive behaviour;,,,,,1,
evaluate the work practices and labour standards in MNC's by applying ethnocentric and polycentric approaches,,,,,1,
"Evaluate their current work-place performance in managing chronic disease, utilising audit and comparison with chosen standards or guidelines",,,,,1,
evaluate theoretical foundations for effective negotiation,,,,,1,
Evaluate theoretical perspectives on the leadership of educational change,,,,,1,
Evaluate theories for eating and body mass disorders (and their treatment);,,,,,1,
Evaluate theories of development.,,,,,1,
evaluate tools and practices to enhance intercultural sensitivity and adaptability;,,,,,1,
Evaluate traditional discipline approaches and test new modes of knowledge production within the studio context.,,,,,1,
Evaluate transport and traffic data on the basis of its quality and relevance and interpret that data to identify key insights.,,,,,1,
evaluate treasury management systems and other decision support systems,,,,,1,
evaluate unionism and industrial relations as mechanisms of employee protection.,,,,,1,
Evaluate usefulness of social work theories and practice models in assessing patients' needs in hospital settings,,,,,1,
Evaluate usefulness of social work theories and practice models in assessing patients' needs in hospital settings.,,,,,1,
"Evaluate variety of ethical reasoning frameworks in making ethical decisions in the context of social, environment and legal aspects issues arriving from their work.",,,,,1,
Evaluate various core psychological and personality theories in detail.,,,,,1,
Evaluate various materials for emerging energy technologies to determine the most suitable option for a particular case based on the increasing demand for high quality and reliable energy.,,,,,1,
evaluate various techniques of analysing situations that require a strategic response,,,,,1,
Evaluate various types of air conditioning systems used in industry and determine the optimal choice for a particular situation,,,,,1,
"Evaluate varying nutritional needs, growth and development and human behaviour across the lifespan consistent with best available evidence.",,,,,1,
Evaluate when adversarial and non-adversarial processes are appropriate or inappropriate in particular cases in both the civil and criminal justice systems (including in the family law system);,,,,,1,
Evaluate which implementation would be most appropriate for a given data structure and application;,,,,,1,
evaluate why and how firms internationalise,,,,,1,
"Evaluate with reference to the evidence-base and personal reflections acute and late radiation therapy side effects, analysing patient care and management strategies related to the above body systems.",,,,,1,
Evaluate your professional knowledge and understanding to identify and plan for areas of future professional learning,,,,,1,
evaluate your professional knowledge and understanding to identify and plan for areas of future professional learning.,,,,,1,
"Evaluate, assess and communicate both personal and team progress and learning, thus engaging in meaningful reflective practice of one's self and the outcomes and process of the projects.",,,,,1,1
"Evaluate, assess and communicate both personal and team progress and learning, thus engaging in meaningful reflective practice of one's self and the outcomes and process of the projects.",,,,,1,1
"evaluate, assess and communicate both personal and team progress and learning, thus engaging in meaningful reflective practice of oneself and the outcomes and process of the projects.",,,,,1,1
"Evaluate, assess and communicate both personal and team progress and learning, thus engaging in meaningful reflective practice;",,,,,1,1
"Evaluate, assess and communicate both personal and team progress and learning, thus engaging in meaningful reflective practice.",,,,,1,1
"Evaluate, assess and communicate both personal and team progress and learning, thus engaging in meaningful reflective practice.",,,,,1,1
"evaluate, assess and communicate personal progress and learning, thus engaging in meaningful reflective practice of one's self and the outcomes and process of the projects.",,,,,1,1
"evaluate, design, and implement automated planning and reasoning technique",,,,,1,1
"evaluate, integrate, and apply relevant evidence-based research to assess client presentation",,,1,,1,
"Evaluate, rate and justify current research directions in computational biology.",,,,,1,
"Evaluate, select and justify research methods and techniques of data collection and analysis appropriate to particular research designs and projects in sub-disciplines of IT;",,,,,1,
"Evaluate, select and justify research methods and techniques of data collection and analysis appropriate to particular research designs and projects in sub-disciplines of IT;",,,,,1,
"Evaluate, using a detailed knowledge of the statutory regulations governing the use of ionising radiation, and describe how regulatory agencies demand the safe use of medical imaging ionising radiation equipment;",,,,,1,
"Examine a particular community and apply approaches to build community resilience, engagement and participation.",,,1,,,
examine a range of decisions and problems faced by organisations and society,,,,1,,
Examine a range of film and television texts as representations of Australian national experience;,,,,1,,
"Examine Aboriginal and Torres Strait Islander key concepts of health and wellbeing and the influence of culture, family and connection to country in health practice.",,,,1,,
Examine an area of independently framed research using various analytical strategies;,,,,1,,
examine and analyse the international legal framework in which trade between nations take place,,,,1,,
Examine and apply developmentally appropriate and psychotherapeutic principles of management of the patient and their family.,,,1,,,
Examine and apply knowledge of normal gastrointestinal and genitourinary anatomy and physiology to describe the structure and function as well as common abnormalities and significant acute or chronic pathologies associated with these two systems;,,,1,,,
Examine and apply knowledge of the structure of trauma systems and define the related trauma triage criteria including the benefits of pre-hospital support and the related role of community emergency health practitioners;,,,1,,,
"examine and apply the principles of contract law, misrepresentation and agency law to hypothetical legal problems",,,1,,,
Examine and compare feminist debates in Asian and global contexts;,,,,1,1,
"Examine and compare the pathogenesis of different disorders of the immune system such as autoimmunity, allergy, inflammatory diseases, immunodeficiency, leukemia/lymphoma and transplant rejection.",,,,1,1,
"Examine and compare the sensory and perceptual processes specific to vision, audition and speech perception",,,,1,1,
Examine and contrast diverse applications of a range of psychological testing techniques.,,,,1,1,
Examine and critically analyse traditional and emerging areas of international law and key issues of public international law arising out of the annual competition problem (the compromise);,,,,1,,
"Examine and criticise arguments in those areas, as well as develop and defend their own position on some specific issues within those areas;",,,,,,1
Examine and describe computer hardware and software architectures;,,1,,1,,
examine and describe computer hardware and software architectures;,,1,,1,,
Examine and describe computer hardware and software architectures;,,1,,,,
"Examine and describe the concepts, scope and application of IT for decision support;",,1,,1,,
"Examine and discuss the historical milestones in the area of branding, including the the value of brands in a contemporary consumer culture;",,1,,,,
Examine and discuss the underlying assumptions that underpin ideas and research in journalism;,,1,,,,
Examine and discuss the underlying assumptions that underpin philosophical ideas and research;,,1,,,,
Examine and discuss the underlying assumptions that underpin sociological ideas and research.,,1,,,,
Examine and evaluate core philosophical ideas and arguments within a tradition;,,,,,1,
examine and evaluate current issues in adult and lifelong learning,,,,,1,
Examine and evaluate sustainable energy options,,,,,1,
Examine and explain how disease is measured in populations,,,,1,1,
"Examine and explain the basic pathological processes involved in the development of diseases, and the impact of acute and chronic stimuli on normal tissue function;",,1,,1,,
"Examine and explain the basics of aviation, including meteorology in relation to both rotary and fixed wing aircraft;",,1,,1,,
Examine and explain the importance of biostatistics in public health studies,,,,1,1,
Examine and implement health education strategies designed to reduce paramedic attendance and hospitalisation for patients in the community.,,,,1,,
Examine and interpret translational research findings in medicine and communicate these to technical and non-technical audiences.,,,,1,1,1
Examine and justify how the assessment process leads to a psychodynamic and developmental diagnostic formulation;,,,,1,1,
"Examine and reflect on how one's own culture and dominant cultural paradigms, influence perceptions of and interactions with Indigenous peoples.",,,,1,,
"Examine and reflect on how one's own culture and dominant cultural paradigms, influence perceptions of interactions with Aboriginal and Torres Strait Islander peoples.",,,,1,,
"examine and research early childhood education's history, philosophies and theories and how they have informed early childhood education today",,,,1,,
Examine aspects of aviation safety including Crew Resource Management (CRM) to optimise safety practices within the aviation environment.,,,,1,,
Examine clinical decision making ability relating to pharmacology within own specific area of practice;,,,,1,,
Examine clinical decision making relating to pharmacology.,,,,1,,
Examine clinical risk management in relation to wound prevention.,,,,1,,
Examine common acute and chronic health issues that occur across the lifespan.,,,,1,,
"examine common legal scenarios in business relating to these areas of law, and apply relevant laws to predict possible legal outcomes",,,1,,1,
Examine complexities and justify clinical decision making associated with ethical and equitable health care delivery.,,,,1,1,
examine concepts relating to taxation of entities,,,,1,,
Examine contemporary curriculum issues and explore exemplars of innovative practice by teachers in response to these issues,,,,1,,
examine contemporary dialogue in early childhood and increase awareness regarding the established discourses relating to theories and debates relating to play,,,,1,,
examine contemporary financial accounting issues,,,,1,,
"examine contemporary issues such as labour mobility, labour market discrimination and income inequality.",,,,1,,
examine contemporary play-based learning theories and critically analyse their relevance across multiple childhoods and their worlds,,,,1,,
Examine coping mechanisms and adjustment disorders in radiation oncology patients in a culturally competent manner.,,,,1,,
"examine cost-volume-profit analyses, divisional performance evaluation measures",,,,1,,
Examine debates on sexual and reproductive health and rights and differentiate approaches to realising the aims of SRHR in local contexts;,,,,1,,
examine different forms of documentation of children's play with the purpose of identifying their strengths and challenges,1,,,,,
"Examine environmental, social and economic dimensions of sustainability, and their interactions, through analysing different philosophical and ideological values and perspectives on sustainability and sustainable development.",,,,1,,
examine evidence-based strategies for effective leadership of primary mathematics teachers,,,,1,,
"Examine existentially-oriented and psychotherapeutic principles of management of the patient, their family and multidisciplinary treatment team and distinguish different mental health interventions that can be applied to optimise wellbeing, foster effective communication and harness the therapeutic environment in a general hospital medical or surgical setting.",,,,1,,
Examine factors impacting the care of Aboriginal and Torres Strait Islander childbearing women and those from different cultures;,,,,1,,
